Email,Subject,Body
user0@gmail.com,Account Activation,We have updated our terms and conditions.
user1@example.com,Important Update,Here is your invoice for the recent purchase.
user2@hotmail.com,Your Invoice,Thank you for signing up with us!
user3@outlook.com,Welcome!,Here is your invoice for the recent purchase.
user4@outlook.com,Your Invoice,Here is your invoice for the recent purchase.
user5@hotmail.com,Account Activation,Check out our latest news and updates!
user6@gmail.com,Important Update,Here is your invoice for the recent purchase.
user7@outlook.com,Your Invoice,Here is your invoice for the recent purchase.
user8@hotmail.com,Important Update,We have updated our terms and conditions.
user9@yahoo.com,Important Update,Click the link to activate your account.
user10@outlook.com,Account Activation,We have updated our terms and conditions.
user11@gmail.com,Important Update,Check out our latest news and updates!
user12@outlook.com,Welcome!,Thank you for signing up with us!
user13@hotmail.com,Newsletter,Here is your invoice for the recent purchase.
user14@yahoo.com,Newsletter,Click the link to activate your account.
user15@yahoo.com,Newsletter,Thank you for signing up with us!
user16@hotmail.com,Important Update,We have updated our terms and conditions.
user17@hotmail.com,Account Activation,Check out our latest news and updates!
user18@hotmail.com,Newsletter,Click the link to activate your account.
user19@outlook.com,Welcome!,Thank you for signing up with us!
user20@gmail.com,Your Invoice,Check out our latest news and updates!
user21@hotmail.com,Welcome!,Click the link to activate your account.
user22@outlook.com,Newsletter,Here is your invoice for the recent purchase.
user23@yahoo.com,Welcome!,We have updated our terms and conditions.
user24@example.com,Account Activation,Check out our latest news and updates!
user25@gmail.com,Account Activation,Here is your invoice for the recent purchase.
user26@example.com,Your Invoice,Click the link to activate your account.
user27@outlook.com,Important Update,We have updated our terms and conditions.
user28@outlook.com,Newsletter,Click the link to activate your account.
user29@yahoo.com,Important Update,Check out our latest news and updates!
user30@gmail.com,Newsletter,Here is your invoice for the recent purchase.
user31@outlook.com,Your Invoice,Here is your invoice for the recent purchase.
user32@example.com,Newsletter,Click the link to activate your account.
user33@gmail.com,Your Invoice,We have updated our terms and conditions.
user34@hotmail.com,Important Update,Here is your invoice for the recent purchase.
user35@example.com,Account Activation,Thank you for signing up with us!
user36@outlook.com,Newsletter,Thank you for signing up with us!
user37@hotmail.com,Important Update,Click the link to activate your account.
user38@outlook.com,Your Invoice,We have updated our terms and conditions.
user39@hotmail.com,Important Update,Click the link to activate your account.
user40@outlook.com,Account Activation,Check out our latest news and updates!
user41@example.com,Important Update,Check out our latest news and updates!
user42@yahoo.com,Account Activation,Check out our latest news and updates!
user43@hotmail.com,Your Invoice,Click the link to activate your account.
user44@hotmail.com,Welcome!,We have updated our terms and conditions.
user45@example.com,Account Activation,Click the link to activate your account.
user46@yahoo.com,Account Activation,Here is your invoice for the recent purchase.
user47@outlook.com,Newsletter,Click the link to activate your account.
user48@gmail.com,Newsletter,Here is your invoice for the recent purchase.
user49@outlook.com,Account Activation,Here is your invoice for the recent purchase.
user50@example.com,Newsletter,Here is your invoice for the recent purchase.
user51@gmail.com,Account Activation,Here is your invoice for the recent purchase.
user52@yahoo.com,Your Invoice,We have updated our terms and conditions.
user53@yahoo.com,Important Update,We have updated our terms and conditions.
user54@hotmail.com,Account Activation,Thank you for signing up with us!
user55@hotmail.com,Account Activation,We have updated our terms and conditions.
user56@yahoo.com,Newsletter,Check out our latest news and updates!
user57@hotmail.com,Newsletter,Click the link to activate your account.
user58@hotmail.com,Important Update,Thank you for signing up with us!
user59@example.com,Newsletter,Here is your invoice for the recent purchase.
user60@yahoo.com,Welcome!,We have updated our terms and conditions.
user61@outlook.com,Your Invoice,Here is your invoice for the recent purchase.
user62@outlook.com,Important Update,Here is your invoice for the recent purchase.
user63@yahoo.com,Account Activation,We have updated our terms and conditions.
user64@hotmail.com,Important Update,Check out our latest news and updates!
user65@hotmail.com,Account Activation,Check out our latest news and updates!
user66@hotmail.com,Newsletter,Click the link to activate your account.
user67@yahoo.com,Welcome!,Check out our latest news and updates!
user68@example.com,Important Update,Click the link to activate your account.
user69@gmail.com,Your Invoice,Check out our latest news and updates!
user70@gmail.com,Newsletter,Click the link to activate your account.
user71@gmail.com,Important Update,Check out our latest news and updates!
user72@hotmail.com,Important Update,Here is your invoice for the recent purchase.
user73@example.com,Newsletter,Here is your invoice for the recent purchase.
user74@yahoo.com,Your Invoice,We have updated our terms and conditions.
user75@example.com,Your Invoice,We have updated our terms and conditions.
user76@gmail.com,Your Invoice,Check out our latest news and updates!
user77@gmail.com,Your Invoice,Here is your invoice for the recent purchase.
user78@hotmail.com,Account Activation,We have updated our terms and conditions.
user79@hotmail.com,Important Update,Check out our latest news and updates!
user80@outlook.com,Important Update,Click the link to activate your account.
user81@hotmail.com,Account Activation,We have updated our terms and conditions.
user82@gmail.com,Your Invoice,Thank you for signing up with us!
user83@example.com,Your Invoice,Click the link to activate your account.
user84@hotmail.com,Your Invoice,Check out our latest news and updates!
user85@outlook.com,Welcome!,Thank you for signing up with us!
user86@gmail.com,Newsletter,Check out our latest news and updates!
user87@outlook.com,Newsletter,We have updated our terms and conditions.
user88@gmail.com,Welcome!,Click the link to activate your account.
user89@yahoo.com,Welcome!,Thank you for signing up with us!
user90@yahoo.com,Welcome!,Thank you for signing up with us!
user91@example.com,Account Activation,Thank you for signing up with us!
user92@example.com,Welcome!,Check out our latest news and updates!
user93@gmail.com,Welcome!,Thank you for signing up with us!
user94@example.com,Your Invoice,Click the link to activate your account.
user95@outlook.com,Important Update,Here is your invoice for the recent purchase.
user96@hotmail.com,Your Invoice,Click the link to activate your account.
user97@gmail.com,Newsletter,Click the link to activate your account.
user98@gmail.com,Important Update,Here is your invoice for the recent purchase.
user99@example.com,Welcome!,We have updated our terms and conditions.
